2025-07-22 14:36:22,676 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,676 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,677 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,678 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,679 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,679 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,680 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,681 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,681 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,682 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,682 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,683 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,684 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,684 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,685 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,685 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,686 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,687 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,688 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,688 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,689 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,689 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,690 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,691 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,691 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,692 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,692 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,693 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,694 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,695 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,695 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,696 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,696 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,697 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,698 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,698 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,699 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,699 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,700 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,701 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,702 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,702 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,703 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,703 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,704 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,704 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,705 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,705 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,706 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,706 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,707 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,707 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,708 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,708 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,710 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,710 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,711 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,711 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,712 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,712 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,713 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,713 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,714 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,714 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,715 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,716 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,716 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,716 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,717 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,718 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,718 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,719 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,719 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,719 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,720 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,720 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,722 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,722 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,722 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,723 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,724 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,725 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,725 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,726 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,726 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,727 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,727 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,728 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,728 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,729 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,729 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,730 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,730 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,731 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,731 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,732 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,732 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,733 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,733 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,734 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,734 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,735 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,735 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,736 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,736 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,737 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-07-22 14:36:22,737 camera.py, line 82, ERROR:read:读取图像错误!!!!
